Estimate,SE
19.936047,0.5768861463
20.319176,0.5245505101
19.986795,0.4677093365
20.065903,0.8042040117
21.019058,0.802357908
20.307009,0.9768612221
21.797308,1.2069912907
20.850756,1.0065832591
19.99096,0.5327367107
19.74172,0.8539128984
20.460869,0.6891339742
20.39929,0.5777559713
20.75034,0.6910141416
21.33483,0.9619299924
20.021269,0.857875109
20.050983,1.083131977
20.426126,1.1376740678
21.38804,0.8514419216
19.836838,0.9771349544
20.423464,1.6696972885
20.7104,0.8381615278
20.679062,0.6209923956
21.217888,0.8107100688
20.763521,0.7560852193
21.070013,0.5567866421
20.435913,1.0991277633
20.49433,1.6169408674
20.385445,0.8985351262
19.581984,1.2526571936
20.8164,0.7818638821
20.106585,0.6039800031
20.036047,0.5833581552
19.878035,0.7639807118
20.442945,0.9037690245
19.699402,0.9208761808
19.43463,0.5621636533
20.521065,0.9933685995
19.694193,1.0295316177
20.061451,0.7797844778
21.137861,0.5547464558
19.588932,0.6247102789
21.435623,0.5802205939
20.29731,1.1588617098
20.03597,0.6126917531
20.32853,1.6186218642
20.469786,1.0198295947
20.695156,0.7663117399
21.366205,0.8079784326
20.467047,0.4965714403
21.209068,0.6714687847
20.976543,0.826964208
21.361078,0.9363019836
21.674097,0.8627754878
20.140318,0.5987219637
20.503214,1.1499876013
19.97768,0.6670887473
20.986074,0.5150093973
19.942083,0.4652141046
20.151339,0.7125539907
20.102188,0.4859318294
20.626034,0.8872923136
19.763453,1.027603313
20.765215,0.9767214126
21.089563,0.8211824733
20.405298,0.6228775356
21.042463,0.558123969
19.9824,0.744921748
21.077242,0.7885575394
20.976957,0.4698395537
21.315062,1.1555949804
20.445198,0.5952171786
20.01693,0.6858827317
20.167093,0.7105943494
21.401499,0.7181424192
20.97876,0.622941777
21.026958,1.398552197
20.160202,0.6664866233
20.857252,0.7120972619
20.502745,0.8071770668
20.848583,0.5159057869
21.022251,0.7245287979
21.129255,0.7266556443
21.170834,1.2158880382
20.838228,0.6969633248
20.576437,0.4954882146
21.334362,0.4544423209
20.689548,0.7845130438
20.26675,0.9586613099
20.474155,0.7607785462
20.232964,0.8499512392
20.603355,0.6939817451
20.72081,0.5519730365
20.25441,0.6682950398
21.287493,0.7943220445
20.395891,0.6994204503
19.974546,0.6263923532
19.477993,1.0570900836
20.370234,0.6548442822
20.301926,1.9374753762
20.644575,1.2028797841
20.667248,0.4880928962
20.917633,2.1074464626
19.273462,0.96899596
20.495785,0.6414348076
20.996647,0.6114653452
20.855494,1.01284314
20.799597,0.8038787882
21.158154,0.7880916932
20.782585,0.5037323562
19.679064,1.1738293515
20.317757,1.0580177441
20.92075,1.7433621282
20.73904,1.2931294095
22.25567,0.7658059941
20.237503,1.113702644
20.263744,0.8958989997
19.139942,0.6318612424
20.33403,0.6812863194
20.399652,0.7002120957
20.790707,0.7013358698
20.101072,0.4581074602
20.518106,0.7259123014
20.591396,0.6008846142
20.040947,0.5197332651
19.886667,0.9601809009
20.252274,0.4125868721
20.736666,0.7119661127
19.87811,0.9809785341
19.30968,1.1103358848
20.126177,1.1991355067
20.600964,0.8836278167
20.80958,1.2295808971
21.893839,1.31850023
21.156357,0.7736343004
21.010056,1.2994809692
20.251616,0.8400781265
19.861916,0.8779928616
21.135872,0.6615990963
20.448278,0.7027937556
20.444122,0.5400619682
20.004358,0.6219977257
21.123617,0.7197556581
20.33006,0.5416372053
19.838263,1.4079631295
19.897694,1.128966561
20.636002,0.6578414419
20.63456,1.2068693222
20.273478,0.6442088922
21.04274,0.6297137676
19.632683,0.7104185949
20.102827,1.0105759792
19.278456,0.9482615316
20.501682,1.1713719695
20.413197,0.6659198639
21.559242,0.7008952697
20.698103,0.5150860426
21.068277,2.2283600995
21.35979,1.1057026875
19.461987,1.5432943975
21.427826,0.9283998372
20.614471,1.5034696804
19.90716,0.461124289
21.459057,0.9781411739
19.863052,0.7237369627
20.388115,0.5194451391
20.438004,0.6039656954
21.363556,0.8085723555
19.648994,0.4120978157
19.394491,0.9943113743
19.986088,1.922850188
20.942316,0.8680606082
20.443361,0.6696626104
20.016088,0.482822982
20.429829,1.8223708862
20.082682,0.5687744627
20.442345,0.6323646844
20.520529,0.6384215694
21.026552,0.4859301246
20.112745,0.5625823586
19.808924,0.5466265192
21.541695,1.5266615762
20.814821,1.2732260902
20.77749,0.5244981072
20.749483,1.0903383411
20.32714,0.4623504293
20.59194,1.2936266459
20.076344,0.5648131829
20.569624,0.5380597428
20.163483,0.8383743013
20.158276,1.177614229
19.61646,1.3058474213
21.517675,1.1561543605
20.209915,1.0486953558
19.80918,0.7004212198
20.769781,0.7383123956
20.33437,0.6513437647
21.199726,0.9068872486
21.136333,1.1128929014
20.807163,0.5517253609
20.531845,0.4908099176
20.58867,1.0627497444
20.696476,1.3163162582
20.506166,0.6101545304
21.331196,0.9484920661
19.519093,1.2455844393
20.19356,0.9142239554
20.857176,1.2504828098
19.118343,0.9815067239
20.811243,1.031084587
20.496555,0.5362946082
20.981256,1.100024439
20.15922,0.3777451422
20.497728,0.5874181151
20.01415,0.6543635521
20.988863,0.6497618617
21.077393,1.079726569
21.130373,0.9686642872
19.508816,0.7010067821
20.227005,1.0753559827
19.119982,1.5160505314
20.927395,1.079868842
20.415714,0.5086748864
20.388315,0.81824121
20.975246,0.8439680693
20.528074,0.8376003556
20.256975,0.7476695313
20.382248,0.5105414783
20.773502,0.4777339846
20.482525,0.5533538199
20.442268,0.7237836215
20.893959,0.6975956568
20.528036,0.7926618465
20.350332,0.7960386777
20.972937,0.6620042686
21.032555,1.0055100567
20.785233,0.9896201661
20.42453,0.95026131
20.217113,0.7723336924
20.883402,0.6636187358
20.983925,1.1984162927
20.37605,0.6868694478
20.282495,0.7630407301
19.757383,0.6402263875
21.402287,0.440649345
20.06224,2.0453403029
20.354324,0.5129757634
20.26738,1.2957176998
20.237644,0.7940653981
21.290657,0.966280166
20.350426,0.8786104127
20.028631,0.7793319045
21.369722,1.0241239508
21.86499,1.3957488303
20.819248,1.8031389462
20.585093,1.0535095906
21.058502,0.924154582
20.168034,0.97771559
20.76643,0.8588543227
20.739496,0.8190473632
19.784758,1.2688989926
20.921286,0.7399521248
20.565912,0.6118776253
19.228241,0.5296620174
19.981401,0.9466736139
20.476845,0.5654763774
20.25032,0.4721424781
20.21486,0.5396839912
20.290632,0.8270091323
20.376814,0.6435533658
20.927792,0.7997813942
20.760035,0.6545312544
21.457182,0.6228317593
20.542612,0.5929078224
20.817213,0.4352967099
20.391474,0.7641103667
20.890558,0.8463220565
20.739693,0.9886976751
20.294195,1.0689697347
20.551634,0.5502070418
20.763445,1.2696445719
19.783127,0.502178875
19.984982,0.6078843582
21.277834,1.1430929919
20.50899,0.776886004
20.539675,1.4625314355
20.248114,0.8649331128
20.780943,0.4412801294
19.84021,0.7626111268
21.132656,0.8491431795
21.138641,0.5105747112
20.43515,0.5749659444
20.879797,2.3014135474
20.180712,1.1812017538
20.952814,0.826196088
20.557627,0.897211532
20.817553,0.551862116
19.857332,0.6216024951
20.651535,1.330728575
20.220316,0.6802150506
19.445156,1.1827230584
20.84961,1.1281752297
21.11206,0.777841312
21.211945,0.4622133739
19.792095,1.3878031991
21.016256,0.6145263593
20.5219,0.9215906105
21.111383,0.6648695171
19.579657,0.8019428357
20.851526,1.0957214899
19.307203,0.5086783955
19.23944,0.7473091541
20.108025,1.3984755635
20.05252,0.4661231803
20.730888,0.719131005
20.841387,0.4933963941
20.250084,1.3715002117
21.160944,0.5575894171
20.692648,0.5785416862
20.059238,1.0206795124
19.817865,0.7475818944
20.802942,0.6838839605
20.587864,0.6416957547
20.218077,0.7529351606
20.212212,0.7193889145
19.866898,0.8730039825
19.361958,0.6571568459
20.426407,0.7994691517
21.255167,1.2564381266
21.599848,0.5438161086
20.504835,1.1323405133
19.830471,1.2494615551
20.839687,1.1666227541
19.720387,0.6870903932
20.753815,0.9460470147
20.332851,0.7650082479
19.127098,1.0326082832
20.125082,0.8292023382
20.77739,1.9119259005
20.185911,0.9150832674
19.775778,0.5980434856
20.530436,1.2506422518
20.195795,0.4744763119
21.253717,0.5892334082
21.586569,0.9029708017
20.262434,0.766177799
20.805822,0.864249717
19.348001,1.7631594558
20.09637,0.533016614
20.8524,0.9316610152
20.928852,0.917530048
20.735386,0.7933465797
21.006922,1.7261263124
19.717062,0.6875528638
19.98686,0.8596363558
21.24472,0.6295050214
19.969711,0.573291576
21.020931,1.0334831872
19.669998,0.6143472177
21.055138,1.703809987
20.868841,0.4642153015
20.910904,0.6279690104
20.277954,1.3075466666
20.403988,1.0590860689
21.925596,0.9202081674
20.285345,0.5969447505
21.14884,0.5887046194
21.36203,1.2525023251
21.083601,0.98409604
21.16768,0.8208083199
19.710278,0.4758702292
20.906239,0.9198585428
19.393112,1.4489496353
20.648426,0.6466929731
20.540163,0.5031231319
21.124115,0.6177563841
19.141224,1.0838055256
19.877382,1.2450321706
19.317848,1.1925768392
20.62774,0.8972963875
19.614464,0.7000844149
19.556345,0.7700738951
20.247118,0.7892715454
19.118202,1.103906967
21.699991,0.5654731468
20.001083,0.7483882161
20.689106,0.7561431172
20.238707,0.6188644933
20.456802,0.8048376464
20.468157,0.5093920842
19.968977,0.9080710331
19.261679,0.7843698352
20.269173,1.2896804283
20.372059,1.2869395836
20.903248,0.8248942729
20.568897,0.944013427
20.265636,0.5960893334
20.588783,0.6944469775
20.84805,0.9798202484
20.021126,1.1806514369
20.410294,0.6207474085
20.664848,0.9026886922
21.126703,0.8838327124
19.777098,0.7056789325
19.79567,0.7753754842
20.767372,1.3856128821
20.047655,0.6140997345
21.052284,0.9922498294
20.824585,1.0173839306
20.607265,0.8061714159
19.84652,0.7238453404
19.826452,1.3657112786
20.98501,0.8794907878
20.829775,0.507154415
20.460394,0.8789167046
20.502113,0.5322491567
20.789543,0.7723144402
20.283417,1.0986420306
19.878527,0.5589097245
21.771576,0.8510020334
20.787035,1.547256134
21.178398,0.6735398822
20.137264,0.6298490927
19.869616,1.5606963257
20.41766,0.7071908352
20.074259,0.9917936058
21.422485,1.2230675693
20.273054,0.7274770821
20.010767,0.7948774584
21.612974,1.19227693
21.02695,0.570001059
20.281567,0.5545056308
20.047245,1.0138445212
20.809044,0.5744180078
20.976269,0.5288027653
21.22056,0.7523318179
19.661676,0.5272202745
21.321737,0.5190202132
21.424063,0.991720664
20.564283,0.6442713401
19.606478,0.9229149299
20.729824,1.0316249347
19.43524,0.6101504466
20.664417,0.9226438321
20.266912,0.7448543693
20.993458,0.6690589731
19.361086,1.0829410482
21.119461,0.6556150135
20.08318,0.7247299443
20.035374,0.6954280956
20.980272,0.7005845048
20.684126,0.5496232736
19.38236,0.8642548255
20.439436,0.807037083
20.322813,1.6009801981
20.896988,0.9104215804
19.718458,1.2540975521
20.751139,1.2582533448
21.044226,1.0428732238
20.060556,0.503195429
19.825006,1.7607479691
19.803953,1.0640571278
21.190664,0.9084132115
20.733353,1.8331340179
20.362003,0.9959141085
20.132547,1.4559760679
19.62769,1.0568612029
20.355139,0.5828587579
20.912632,0.7471053507
20.55045,0.6644535252
20.207043,0.5592241025
21.323013,0.6197887685
21.004805,0.5788857908
20.648998,0.8647957358
19.92489,0.7129709867
20.848724,0.5111377269
20.834108,0.9136457808
20.70353,0.8891722225
20.34763,0.5876081077
21.410633,0.7407666916
20.838085,0.6688992933
20.570404,0.9724684746
20.856922,1.0613214165
20.151415,0.5550883629
20.616016,0.5930160275
21.614538,0.680463128
20.180286,0.5070528746
21.031908,0.6194002729
21.02419,0.9243252975
19.855707,0.8508817614
19.728878,1.2398605735
20.11821,1.0153689402
20.465698,0.5605061351
20.227278,0.4667436354
21.650398,1.0403672298
20.576612,0.7655855322
20.44076,0.7825813122
19.929346,0.5008137069
20.278837,1.1584975409
20.596117,0.5745233667
20.267471,1.0364936245
