Estimates,Theta
20.051916,1.0671352442
21.285955,1.2623522523
19.813164,0.9734861108
19.378973,0.8596871468
19.281227,1.174830227
20.6331,0.9599918608
19.99962,1.0237548222
20.647884,0.9178098964
19.802492,1.2600628055
20.331158,0.972463744
20.722277,1.2446093007
20.850574,0.8850867782
19.386433,1.3282375062
20.249722,1.092411382
21.402853,0.93360703
18.974709,1.0544257128
19.056353,0.8817031983
21.104864,1.0645224791
20.51526,1.0804893768
20.017303,1.0729021236
21.291054,0.8120473522
19.901726,0.8601836636
20.61369,0.8699980392
20.637697,0.9171269451
20.471119,1.0746425707
20.172993,0.9734978886
19.23955,1.0103751661
20.51292,0.8241754293
19.709515,0.8924129436
20.877966,1.0004575682
19.598524,1.3838482034
20.847181,1.0854621657
20.107592,0.9868959416
21.725533,1.1685375565
19.15624,0.9295996648
19.600441,1.0226345687
17.948824,0.9576467141
21.015238,0.9773345545
18.581482,0.989408239
18.799221,1.2126881894
19.719484,1.2205150811
21.544273,0.9399701349
19.88108,0.8846399347
20.039465,1.0525715644
21.182405,1.0044181378
19.973484,0.8497704375
21.281889,0.8791400539
19.783419,0.8270815297
21.01929,0.9409060914
